Initializing benchmark subset...
Discovered 2000 files for benchmarking.

--- RUNTIME ANALYSIS ---
Total files scanned: 2000
Total time elapsed:  12.6704 seconds
Throughput:          157.92 files/second
Findings discovered: 7395
------------------------
         7288097 function calls (7279784 primitive calls) in 14.357 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.009    0.009 fields.py:1(<module>)
     2002    0.001    0.000    0.009    0.000 connection.py:364(_send)
      273    0.001    0.000    0.009    0.000 dataclasses.py:413(_create_fn)
     2000    0.002    0.000    0.009    0.000 _base.py:77(__init__)
   209982    0.008    0.000    0.008    0.000 pathlib.py:327(_select_from)
        1    0.000    0.000    0.008    0.008 connection.py:1(<module>)
       80    0.000    0.000    0.008    0.000 _parser.py:970(parse)
     4007    0.007    0.000    0.008    0.000 threading.py:236(__init__)
   227/80    0.000    0.000    0.008    0.000 _parser.py:447(_parse_sub)
   467/83    0.003    0.000    0.008    0.000 _parser.py:507(_parse)
     2000    0.008    0.000    0.008    0.000 {built-in method pymupdf._mupdf.new_FzRect}
106359/106307    0.007    0.000    0.008    0.000 {built-in method __new__ of type object at 0x1057abd60}
     2012    0.007    0.000    0.007    0.000 {built-in method posix.write}
    14000    0.007    0.000    0.007    0.000 {built-in method pymupdf._mupdf.FzErrorGeneric_swiginit}
        1    0.000    0.000    0.007    0.007 context.py:1(<module>)
     2000    0.003    0.000    0.007    0.000 queue.py:122(put)
105648/105494    0.007    0.000    0.007    0.000 {built-in method builtins.hash}
     2004    0.004    0.000    0.007    0.000 weakref.py:104(__init__)
  642/602    0.000    0.000    0.007    0.000 typing.py:338(inner)
     2000    0.001    0.000    0.007    0.000 process.py:728(_adjust_process_count)
       70    0.000    0.000    0.007    0.000 dataclasses.py:1192(dataclass)
     2000    0.001    0.000    0.007    0.000 _base.py:61(__init__)
      514    0.000    0.000    0.007    0.000 pathlib.py:934(_scandir)
      514    0.006    0.000    0.006    0.000 {built-in method posix.scandir}
      361    0.006    0.000    0.006    0.000 {built-in method io.open_code}
     6000    0.004    0.000    0.006    0.000 _base.py:177(_yield_finished_futures)
        1    0.000    0.000    0.006    0.006 base.py:1(<module>)
     2000    0.002    0.000    0.006    0.000 _base.py:328(__init__)
       80    0.000    0.000    0.006    0.000 _compiler.py:571(_code)
       81    0.001    0.000    0.006    0.000 typing_extensions.py:1085(__new__)
       33    0.006    0.000    0.006    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.006    0.006 reduction.py:1(<module>)
        2    0.000    0.000    0.006    0.003 _adapters.py:1(<module>)
        1    0.000    0.000    0.005    0.005 streaming_scanner.py:135(_build_pool)
        1    0.000    0.000    0.005    0.005 process.py:611(__init__)
     2002    0.001    0.000    0.005    0.000 threading.py:555(__init__)
     1282    0.002    0.000    0.005    0.000 typing.py:168(_type_check)
        1    0.000    0.000    0.005    0.005 tempfile.py:1(<module>)
     2002    0.001    0.000    0.005    0.000 <frozen genericpath>:27(isfile)
        1    0.000    0.000    0.005    0.005 pipeline.py:1(<module>)
   764/80    0.002    0.000    0.005    0.000 _compiler.py:37(_compile)
     1697    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.005    0.005 message.py:1(<module>)
        1    0.000    0.000    0.004    0.004 process.py:163(__init__)
        1    0.000    0.000    0.004    0.004 queues.py:37(__init__)
        1    0.000    0.000    0.004    0.004 page.py:1(<module>)
        4    0.000    0.000    0.004    0.001 context.py:65(Lock)
        5    0.000    0.000    0.004    0.001 synchronize.py:50(__init__)
       70    0.000    0.000    0.004    0.000 dataclasses.py:528(_init_fn)
        4    0.000    0.000    0.004    0.001 synchronize.py:161(__init__)
       81    0.000    0.000    0.004    0.000 typing_extensions.py:1138(<dictcomp>)
        1    0.000    0.000    0.004    0.004 _base.py:1(<module>)
      4/3    0.000    0.000    0.004    0.001 _generate_schema.py:717(generate_schema)
     17/3    0.000    0.000    0.004    0.001 _generate_schema.py:1017(_generate_schema_inner)
      4/3    0.000    0.000    0.004    0.001 _generate_schema.py:756(_model_schema)
       95    0.004    0.000    0.004    0.000 {built-in method io.open}
       91    0.000    0.000    0.004    0.000 pathlib.py:1036(open)
    48/47    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
   104991    0.004    0.000    0.004    0.000 pathlib.py:257(casefold_parts)
    48/47    0.002    0.000    0.004    0.000 {built-in method _imp.exec_dynamic}
        3    0.000    0.000    0.004    0.001 _generate_schema.py:868(<dictcomp>)
       13    0.000    0.000    0.004    0.000 _generate_schema.py:1238(_generate_md_field_schema)
       16    0.000    0.000    0.004    0.000 inspect.py:3276(signature)
       16    0.000    0.000    0.004    0.000 inspect.py:3022(from_callable)
       13    0.000    0.000    0.004    0.000 _generate_schema.py:1278(_common_field_schema)
    26/16    0.000    0.000    0.004    0.000 inspect.py:2425(_signature_from_callable)
     2000    0.001    0.000    0.004    0.000 _weakrefset.py:27(__exit__)
