Initializing benchmark subset...
Discovered 2000 files for benchmarking.

--- RUNTIME ANALYSIS ---
Total files scanned: 2000
Total time elapsed:  12.6704 seconds
Throughput:          157.92 files/second
Findings discovered: 7395
------------------------
         7288097 function calls (7279784 primitive calls) in 14.357 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:531(Formatter)
        1    0.000    0.000    0.000    0.000 zipfile.py:2222(CompleteDirs)
        1    0.000    0.000    0.000    0.000 events.py:98(TimerHandle)
        5    0.000    0.000    0.000    0.000 _generate_schema.py:2725(_inlining_behavior)
        1    0.000    0.000    0.000    0.000 mupdf.py:59557(ll_fz_match_chapter_page_number_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:59953(ll_fz_separation_equivalent_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:33476(FzRange)
        1    0.000    0.000    0.000    0.000 mupdf.py:37024(FzTextDecoder)
        1    0.000    0.000    0.000    0.000 mupdf.py:37215(FzTree)
        1    0.000    0.000    0.000    0.000 mupdf.py:40713(PdfFontResourceKey)
        1    0.000    0.000    0.000    0.000 mupdf.py:44184(PdfVectorizeFilterOptions)
        1    0.000    0.000    0.000    0.000 mupdf.py:24331(FzCompressedImage)
        1    0.000    0.000    0.000    0.000 mupdf.py:29258(FzLinkDest)
        1    0.000    0.000    0.000    0.000 mupdf.py:24405(FzContext)
        1    0.000    0.000    0.000    0.000 mupdf.py:27322(FzFontFlagsT)
        1    0.000    0.000    0.000    0.000 __init__.py:23416(JM_new_bbox_device_Device)
        1    0.000    0.000    0.000    0.000 mupdf.py:2672(fz_compressed_buffer)
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.fz_text_span_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.fz_pwg_options_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.pdf_range_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzArchive_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzDevice_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzFont_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzFontFlagsT_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzOutlineIterator_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzStoryElementPosition_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.PdfLexbuf_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.PdfTextObjectState_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.ll_fz_decode_barcode_from_pixmap_outparams_swigregister}
        1    0.000    0.000    0.000    0.000 enum.py:817(__repr__)
        6    0.000    0.000    0.000    0.000 util.py:48(debug)
        1    0.000    0.000    0.000    0.000 unix_events.py:594(_UnixWritePipeTransport)
        1    0.000    0.000    0.000    0.000 mupdf.py:35465(FzStorable)
        1    0.000    0.000    0.000    0.000 mupdf.py:39101(PdfColorFilterOptions)
        1    0.000    0.000    0.000    0.000 mupdf.py:60465(ll_pdf_page_write_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:41057(PdfJournal)
        1    0.000    0.000    0.000    0.000 __init__.py:23572(JM_new_texttrace_device)
        1    0.000    0.000    0.000    0.000 mupdf.py:3536(fz_stext_page_block_iterator)
        1    0.000    0.000    0.000    0.000 mupdf.py:5122(pdf_xrange)
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzStream_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzLinkIterator_swigregister}
        1    0.000    0.000    0.000    0.000 ast.py:84(_convert)
        1    0.000    0.000    0.000    0.000 traceback.py:247(FrameSummary)
        1    0.000    0.000    0.000    0.000 util.py:108(_platform_supports_abstract_sockets)
        1    0.000    0.000    0.000    0.000 cp424.py:9(Codec)
        1    0.000    0.000    0.000    0.000 __about__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing_extensions.py:1646(_set_default)
        1    0.000    0.000    0.000    0.000 streams.py:301(StreamWriter)
        1    0.000    0.000    0.000    0.000 streams.py:181(StreamReaderProtocol)
        1    0.000    0.000    0.000    0.000 ipaddress.py:563(_BaseAddress)
        1    0.000    0.000    0.000    0.000 synchronize.py:210(Condition)
        1    0.000    0.000    0.000    0.000 mupdf.py:2644(fz_range)
        1    0.000    0.000    0.000    0.000 mupdf.py:34023(FzSearchResultDetails)
        1    0.000    0.000    0.000    0.000 mupdf.py:59697(ll_fz_new_display_list_from_svg_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:58935(ll_fz_buffer_storage_outparams)
        1    0.000    0.000    0.000    0.000 popen_fork.py:12(Popen)
        1    0.000    0.000    0.000    0.000 mupdf.py:41165(PdfJsConsole)
        1    0.000    0.000    0.000    0.000 mupdf.py:41625(PdfMrange)
        1    0.000    0.000    0.000    0.000 mupdf.py:42920(PdfPattern)
        1    0.000    0.000    0.000    0.000 mupdf.py:24215(FzColorspaceContext)
        1    0.000    0.000    0.000    0.000 mupdf.py:28306(FzImageRaftOptions)
        1    0.000    0.000    0.000    0.000 mupdf.py:29415(FzMatchQuad)
        1    0.000    0.000    0.000    0.000 __init__.py:2776(DisplayList)
        1    0.000    0.000    0.000    0.000 tarfile.py:600(_FileInFile)
        1    0.000    0.000    0.000    0.000 mupdf.py:1986(fz_getopt_long_options)
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.vectorf_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.fz_point_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.fz_document_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.pdf_processor_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.pdf_color_filter_options_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzColorspace_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzImage_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzLink_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.PdfDocument_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.DiagnosticCallback_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.ll_fz_page_presentation_outparams_swigregister}
        5    0.000    0.000    0.000    0.000 _known_annotated_metadata.py:383(<dictcomp>)
        3    0.000    0.000    0.000    0.000 typing.py:2793(<listcomp>)
        2    0.000    0.000    0.000    0.000 typing.py:370(<genexpr>)
        6    0.000    0.000    0.000    0.000 typing.py:2818(<genexpr>)
        1    0.000    0.000    0.000    0.000 mupdf.py:35262(FzStextPageDetails)
        1    0.000    0.000    0.000    0.000 mupdf.py:38064(PdfAlertEvent)
        1    0.000    0.000    0.000    0.000 mupdf.py:60195(ll_pdf_count_q_balance_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:41493(PdfMailDocEvent)
        1    0.000    0.000    0.000    0.000 mupdf.py:22739(FzArchiveHandlerContext)
        1    0.000    0.000    0.000    0.000 mupdf.py:28431(FzInt2)
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.fz_warn_context_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.fz_context_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.fz_stext_block_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.fz_outline_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzDocumentHandler_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzPixmap_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzXml_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.PdfPkcs7DistinguishedName_swigregister}
        4    0.000    0.000    0.000    0.000 typing.py:2583(final)
        1    0.000    0.000    0.000    0.000 threading.py:1509(_register_atexit)
        1    0.000    0.000    0.000    0.000 utils.py:36(open_filename)
        7    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 _modes.py:17(Mode)
        1    0.000    0.000    0.000    0.000 arcfour.py:10(Arcfour)
        1    0.000    0.000    0.000    0.000 unix_events.py:458(_UnixReadPipeTransport)
        1    0.000    0.000    0.000    0.000 mupdf.py:59414(ll_fz_lookup_builtin_font_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:30019(FzOutlineItem)
        1    0.000    0.000    0.000    0.000 mupdf.py:59272(ll_fz_get_pixmap_mask_from_image_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:59825(ll_fz_parse_page_range_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:40947(PdfHmtx)
        1    0.000    0.000    0.000    0.000 mupdf.py:44118(PdfTextState)
        1    0.000    0.000    0.000    0.000 mupdf.py:27415(FzGetoptLongOptions)
        1    0.000    0.000    0.000    0.000 resource_tracker.py:54(ResourceTracker)
        1    0.000    0.000    0.000    0.000 mupdf.py:1769(fz_activity_context)
        1    0.000    0.000    0.000    0.000 mupdf.py:5188(pdf_hmtx)
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.fz_matrix_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.fz_aes_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.fz_function_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.fz_layout_line_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.pdf_hmtx_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.pdf_font_desc_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzDevice2_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzDisplayList_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzInstallLoadSystemFontFuncsArgs_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzStextOptions_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzWriteStoryPositions_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.PdfObjectLabels_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.PdfWriteOptions_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.ll_pdf_count_q_balance_outparams_swigregister}
        4    0.000    0.000    0.000    0.000 ast.py:255(iter_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:51(_days_in_month)
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        1    0.000    0.000    0.000    0.000 errors.py:105(PydanticUndefinedAnnotation)
        3    0.000    0.000    0.000    0.000 _decorators.py:499(update_from_config)
        1    0.000    0.000    0.000    0.000 mupdf.py:59458(ll_fz_lookup_noto_boxes_font_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:5859(pdf_launch_url_event)
        1    0.000    0.000    0.000    0.000 mupdf.py:59257(ll_fz_get_pixmap_from_image_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:29362(FzLocksContext)
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.vector_fz_font_ucs_gid_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.fz_font_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.pdf_write_options_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzPwgOptions_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzStextPage_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.ll_fz_keep_imp_outparams_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.ll_pdf_process_contents_outparams_swigregister}
        1    0.000    0.000    0.000    0.000 datetime.py:1284(IsoCalendarDate)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 random.py:215(__init_subclass__)
        1    0.000    0.000    0.000    0.000 pdffont.py:108(FontMetricsDB)
        1    0.000    0.000    0.000    0.000 types.py:692(StringConstraints)
        1    0.000    0.000    0.000    0.000 mupdf.py:4145(pdf_mark_bits)
        1    0.000    0.000    0.000    0.000 mupdf.py:31600(FzPathWalker)
        1    0.000    0.000    0.000    0.000 mupdf.py:35557(FzStoreHash)
        1    0.000    0.000    0.000    0.000 mupdf.py:59443(ll_fz_lookup_cjk_font_by_language_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:28954(FzJsonObject)
        1    0.000    0.000    0.000    0.000 mupdf.py:29080(FzLayoutChar)
        1    0.000    0.000    0.000    0.000 mupdf.py:29116(FzLayoutLine)
        1    0.000    0.000    0.000    0.000 mupdf.py:2059(fz_json_array)
        1    0.000    0.000    0.000    0.000 mupdf.py:3164(fz_stext_page_details)
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.fz_location_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.fz_pixmap_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.pdf_mark_list_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.pdf_csi_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzBitmap_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzPage_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.PdfHintPage_swigregister}
        7    0.000    0.000    0.000    0.000 functools.py:972(__set_name__)
        6    0.000    0.000    0.000    0.000 context.py:197(get_start_method)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:211(AddrlistClass)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 warnings.py:22(PydanticDeprecationWarning)
        1    0.000    0.000    0.000    0.000 ssl.py:227(_TLSMessageType)
        1    0.000    0.000    0.000    0.000 base_events.py:206(_SendfileFallbackProtocol)
        1    0.000    0.000    0.000    0.000 functional_validators.py:28(AfterValidator)
        1    0.000    0.000    0.000    0.000 _discriminated_union.py:73(_ApplyInferredDiscriminator)
        1    0.000    0.000    0.000    0.000 types.py:2397(Base64Encoder)
        4    0.000    0.000    0.000    0.000 types.py:1340(__hash__)
        1    0.000    0.000    0.000    0.000 mupdf.py:60296(ll_pdf_field_event_validate_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:60692(ll_pdf_walk_tree_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:2344(fz_shaper_data_t)
        1    0.000    0.000    0.000    0.000 mupdf.py:2805(fz_vertex)
        1    0.000    0.000    0.000    0.000 mupdf.py:4082(fz_write_story_position)
        1    0.000    0.000    0.000    0.000 mupdf.py:4133(pdf_cycle_list)
        1    0.000    0.000    0.000    0.000 mupdf.py:4793(pdf_lexbuf_large)
        1    0.000    0.000    0.000    0.000 mupdf.py:4867(pdf_rev_page_map)
        1    0.000    0.000    0.000    0.000 mupdf.py:34617(FzStextChar)
        1    0.000    0.000    0.000    0.000 mupdf.py:59868(ll_fz_resolve_link_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:60394(ll_pdf_lookup_page_loc_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:59005(ll_fz_convert_color_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:39278(PdfCsi)
        1    0.000    0.000    0.000    0.000 mupdf.py:43032(PdfPkcs7Verifier)
        1    0.000    0.000    0.000    0.000 mupdf.py:44151(PdfUnsavedSig)
        1    0.000    0.000    0.000    0.000 mupdf.py:27735(FzHyphTrie)
        1    0.000    0.000    0.000    0.000 __init__.py:2720(Colorspace)
        1    0.000    0.000    0.000    0.000 __init__.py:8151(DocumentWriter)
        1    0.000    0.000    0.000    0.000 mupdf.py:1914(fz_sha256)
        1    0.000    0.000    0.000    0.000 mupdf.py:2071(fz_json_object)
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.vectord_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.vector_fz_point_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.fz_stroke_state_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.fz_device_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.fz_page_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.fz_pdfocr_options_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.pdf_document_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzDocument_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzDrawOptions_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzPclmOptions_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzPoint_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzRect_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.PdfDocEvent_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.PdfFontDesc_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.PdfKeystrokeEvent_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.PdfPage_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzStextPageIterator_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.ll_fz_search_page_number_outparams_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.ll_pdf_annot_MK_BC_outparams_swigregister}
        2    0.000    0.000    0.000    0.000 types.py:2671(__hash__)
        1    0.000    0.000    0.000    0.000 uuid.py:334(hex)
        4    0.000    0.000    0.000    0.000 _model_construction.py:292(__prepare__)
        1    0.000    0.000    0.000    0.000 mupdf.py:59571(ll_fz_match_display_list_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:2123(fz_key_storable)
        1    0.000    0.000    0.000    0.000 mupdf.py:6002(fz_font_ucs_gid)
        1    0.000    0.000    0.000    0.000 mupdf.py:37064(FzTextItem)
        1    0.000    0.000    0.000    0.000 mupdf.py:60137(ll_pdf_annot_default_appearance_unmapped_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:2084(fz_location)
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.vectorq_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.pdf_page_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzRange_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzZipWriter_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.PdfFilterFactory_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.PdfSanitizeFilterOptions_swigregister}
        2    0.000    0.000    0.000    0.000 __init__.py:428(__init__)
        1    0.000    0.000    0.000    0.000 lzw.py:15(LZWDecoder)
       11    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 pdffont.py:612(INDEX)
        1    0.000    0.000    0.000    0.000 numbers.py:267(Rational)
       13    0.000    0.000    0.000    0.000 _generate_schema.py:2214(<lambda>)
       13    0.000    0.000    0.000    0.000 _generate_schema.py:1312(<listcomp>)
        1    0.000    0.000    0.000    0.000 mupdf.py:59145(ll_fz_deflate_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:59515(ll_fz_lookup_noto_music_font_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:60352(ll_pdf_load_image_stream_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:58890(ll_fz_bidi_fragment_text_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:58921(ll_fz_buffer_extract_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:24368(FzCompressionParams)
        1    0.000    0.000    0.000    0.000 mupdf.py:27810(FzIccProfile)
        1    0.000    0.000    0.000    0.000 mupdf.py:28562(FzIntptr)
        1    0.000    0.000    0.000    0.000 mupdf.py:2006(fz_archive_handler)
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.fz_transition_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.pdf_pkcs7_verifier_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzMd5_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzOverprint_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzSvgDeviceOptions_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.PdfRange_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.ll_fz_match_chapter_page_number_outparams_swigregister}
        1    0.000    0.000    0.000    0.000 queues.py:355(__getstate__)
        8    0.000    0.000    0.000    0.000 {method 'span' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 version.py:25(version_short)
        1    0.000    0.000    0.000    0.000 subprocess.py:115(Process)
        1    0.000    0.000    0.000    0.000 functional_validators.py:89(BeforeValidator)
        1    0.000    0.000    0.000    0.000 types.py:2437(Base64UrlEncoder)
        1    0.000    0.000    0.000    0.000 state_manager.py:61(SQLiteStateManager)
        1    0.000    0.000    0.000    0.000 mupdf.py:60366(ll_pdf_load_to_unicode_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:60558(ll_pdf_process_contents_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:3549(fz_image_raft_options)
        1    0.000    0.000    0.000    0.000 mupdf.py:4820(pdf_layer_config)
        1    0.000    0.000    0.000    0.000 mupdf.py:5274(pdf_colorspace_resource_key)
        1    0.000    0.000    0.000    0.000 mupdf.py:5449(pdf_filter_factory)
        1    0.000    0.000    0.000    0.000 mupdf.py:5971(fz_search_page2_hit)
        1    0.000    0.000    0.000    0.000 mupdf.py:58963(ll_fz_chartorunen_outparams)
        1    0.000    0.000    0.000    0.000 __init__.py:23447(JM_new_output_fileptr_Output)
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.map_string_int_swigregister}
        1    0.000    0.000    0.000    0.000 context.py:230(DefaultContext)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:1004(__new__)
        1    0.000    0.000    0.000    0.000 mupdf.py:59159(ll_fz_dom_get_attribute_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:59187(ll_fz_drop_imp16_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:59627(ll_fz_new_brotli_data_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:60310(ll_pdf_js_event_result_validate_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:58977(ll_fz_clamp_color_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:58991(ll_fz_compress_brotli_outparams)
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.pdf_image_rewriter_options_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.PdfColorFilterOptions_swigregister}
        1    0.000    0.000    0.000    0.000 pathlib.py:231(_PosixFlavour)
        1    0.000    0.000    0.000    0.000 threading.py:224(Condition)
        1    0.000    0.000    0.000    0.000 string.py:188(Formatter)
        1    0.000    0.000    0.000    0.000 selectors.py:290(SelectSelector)
        1    0.000    0.000    0.000    0.000 context.py:220(Process)
        1    0.000    0.000    0.000    0.000 util.py:182(Finalize)
        1    0.000    0.000    0.000    0.000 calendar.py:295(TextCalendar)
        1    0.000    0.000    0.000    0.000 abc.py:43(Finder)
        1    0.000    0.000    0.000    0.000 feedparser.py:45(BufferedSubFile)
        1    0.000    0.000    0.000    0.000 ccitt.py:532(CCITTFaxDecoder)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:964(create_module)
        1    0.000    0.000    0.000    0.000 cmapdb.py:139(UnicodeMap)
        1    0.000    0.000    0.000    0.000 pdfinterp.py:70(PDFTextState)
        1    0.000    0.000    0.000    0.000 _cipheralgorithm.py:38(BlockCipherAlgorithm)
        1    0.000    0.000    0.000    0.000 algorithms.py:78(CAST5)
        1    0.000    0.000    0.000    0.000 _decorators.py:164(PydanticDescriptorProxy)
        1    0.000    0.000    0.000    0.000 _repr.py:31(Representation)
        1    0.000    0.000    0.000    0.000 _mock_val_ser.py:21(MockCoreSchema)
        1    0.000    0.000    0.000    0.000 resource_tracker.py:56(__init__)
        1    0.000    0.000    0.000    0.000 mupdf.py:59131(ll_fz_decomp_image_from_stream_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:59287(ll_fz_getopt_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:59315(ll_fz_grisu_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:59897(ll_fz_search_display_list_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:60065(ll_pdf_annot_MK_BC_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:60093(ll_pdf_annot_callout_line_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:60224(ll_pdf_dict_get_inheritable_string_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:60437(ll_pdf_obj_memo_outparams)
        1    0.000    0.000    0.000    0.000 mupdf.py:60592(ll_pdf_resolve_link_outparams)
        1    0.000    0.000    0.000    0.000 table.py:426(WordMap)
        1    0.000    0.000    0.000    0.000 mupdf.py:4892(pdf_hint_shared)
        1    0.000    0.000    0.000    0.000 mupdf.py:5135(pdf_mrange)
        1    0.000    0.000    0.000    0.000 mupdf.py:5306(pdf_resource_stack)
        1    0.000    0.000    0.000    0.000 mupdf.py:40616(PdfFilterOptions2)
        1    0.000    0.000    0.000    0.000 mupdf.py:40520(PdfFilterFactory2)
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.vectors_swigregister}
        1    0.000    0.000    0.000    0.000 {built-in method pymupdf._mupdf.FzErrorUnsupported_swigregister}
        3    0.000    0.000    0.000    0.000 _generate_schema.py:2766(__init__)
        7    0.000    0.000    0.000    0.000 typing.py:387(__init_subclass__)
        1    0.000    0.000    0.000    0.000 decoder.py:254(JSONDecoder)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_224}
        1    0.000    0.000    0.000    0.000 csv.py:23(Dialect)
        1    0.000    0.000    0.000    0.000 header.py:413(_ValueFormatter)
        2    0.000    0.000    0.000    0.000 {method 'cache_clear' of 'functools._lru_cache_wrapper' objects}
        1    0.000    0.000    0.000    0.000 runners.py:21(Runner)
        1    0.000    0.000    0.000    0.000 introspection.py:62(is_union_origin)
        1    0.000    0.000    0.000    0.000 mupdf.py:59173(ll_fz_drop_imp_outparams)
